evidence,date,event,names,rounds,results
STRONG,2020-01-11,Tates Creek Invitational,Josh Harper vs Max Elsbernd,champ. round 1 | cons. round 3,Fall 3:34 | Fall 2:58
STRONG,2019-12-28,Great Miami Valley Wrestling Association Tournament (GMVWA),Casey Rauch vs 10925420132,None | 5th place match,Dec 8-4 | Dec 3-1
STRONG,2020-01-11,Louisville City Championship,Bryce Russell vs Ben Bush,champ. round 1 | cons. semis,Dec 10-8 | Dec 9-5
STRONG,2020-01-11,Louisville City Championship,Jonathan Martion vs Junior Dablah,quarterfinals | 3rd place match,Dec 4-3 | Dec 3-0
STRONG,2019-12-14,Derby City Classic,Kentrell Tidwell vs Mathieu Girton,quarterfinals | 5th place match,Fall 4:00 | Fall 1:55
STRONG,2019-12-07,Bulldog Battle for the Bone,Jadan Mitchell vs Jason Agustin,round 1 | champ. round 1,Fall 0:00 | Fall 0:00
STRONG,2020-02-08,KHSAA Region 2,Tarek King vs Landon Barnes,quarterfinals | 3rd place match,Fall 3:00 | Fall 2:00
STRONG,2019-12-07,King of the Bluegrass,Mason Kellett vs Deaven McCombs,quarterfinals | None,Fall 3:35 | Fall 3:41
STRONG,2020-01-18,Calloway Co. Laker Invitational,Landon Brumfield vs Chistopher Mooney,champ. round 1 | cons. semis,Fall 1:04 | Fall 0:21
STRONG,2020-02-15,KHSAA State Championships,Oscar (J.T.) Adams vs Everett Marret,champ. round 1 | cons. round 5,Dec 7-5 | Dec 6-5
STRONG,2020-01-04,Redhawk Rampage,Dion Wills vs 11066554132,champ. round 1 | cons. semis,Dec 12-8 | Dec 8-3
STRONG,2019-12-21,Tiger Classic,TyDarius Kelly vs 10657674132,round 3 | cons. semis,Fall 0:44 | Fall 0:24
STRONG,2020-01-04,Johnny Drennan Invitational,TyDarius Kelly vs 11074172132,quarterfinals | 3rd place match,Dec 5-4 | Dec 2-1
STRONG,2020-02-15,KHSAA State Championships,Tucker Shelton vs TyDarius Kelly,champ. round 2 | 3rd place match,Dec 6-1 | Dec 2-1
STRONG,2020-01-25,Wapakoneta,Blake Roland vs 10910126132,None | 5th place match,Fall 1:07 | Fall 1:40
STRONG,2019-12-14,2019 Ryle Raider Rumble,Zac Cowan vs Samuel Grandstaff,None | champ. round 3,Dec 6-2 | Dec 6-4
WEAK,2020-01-25,Wapakoneta,Samuel Grandstaff vs 11113147132,None | None,TF 18-2 0:00 | TF 17-2 0:00
STRONG,2020-01-25,Wapakoneta,10626172132 vs Donovan Taylor,None | 3rd place match,Dec 9-6 | Dec 14-13
STRONG,2020-01-25,Ft. Knox Individual,Leland Reeves vs Austin Bain,quarterfinals | champ. round 2,Fall 2:00 | Fall 0:56
STRONG,2020-01-25,Ft. Knox Individual,Drew Johnson vs Colin Bratcher,cons. round 1 | cons. round 1,Fall 1:44 | Fall 3:00
STRONG,2020-01-25,Ft. Knox Individual,John Mejia vs Tanner Bailey,cons. round 2 | cons. round 2,Fall 4:00 | Fall 3:18
STRONG,2020-01-25,Ft. Knox Individual,Jacob Frederick vs Laura Oh,champ. round 1 | champ. round 1,Fall 1:00 | Fall 0:59
STRONG,2020-01-25,Ft. Knox Individual,Laura Oh vs Chistopher Mooney,cons. round 2 | cons. round 2,Fall 0:51 | Fall 1:00
STRONG,2020-01-25,Ft. Knox Individual,Michael Combs vs Vincent Stefani,champ. round 1 | champ. round 1,Fall 1:00 | Fall 1:08
STRONG,2020-01-25,Ft. Knox Individual,Kristopher Howard vs Vincent Stefani,cons. round 3 | cons. round 3,Fall 3:00 | Fall 2:53
STRONG,2020-01-25,Ft. Knox Individual,Jack Leish vs Hannah Thompson,champ. round 1 | champ. round 1,Fall 1:00 | Fall 1:09
STRONG,2020-01-25,Ft. Knox Individual,Elliott Shull vs Aidan Greenwell,cons. round 1 | cons. round 1,Fall 1:00 | Fall 2:34
STRONG,2020-01-25,Ft. Knox Individual,Tyler Witsken vs Matt Oliver,1st place match | 1st place match,Fall 0:41 | Fall 1:00
STRONG,2019-12-14,Derby City Classic,Hunter Kellenbarger vs Ian Daugherty,champ. round 2 | 3rd place match,Fall 1:38 | Fall 0:36
STRONG,2020-02-08,KHSAA Region 6,Ian Daugherty vs Conner Jones,quarterfinals | 3rd place match,Fall 3:49 | Fall 4:14
STRONG,2020-01-25,Ft. Knox Individual,Denarius Barnes vs Joseph Robinson,semifinals | champ. round 2,Fall 1:00 | Fall 1:38
